source_dir_name,sample_id,error,traceback,timestamp,failure_kind,source_prefix,source_timestamp,object,sample_type,n_objects_parsed,is_empty,is_offgrid,is_rotated,is_multi_object,speakers_parsed,x_position_parsed,y_position_parsed,experiment_id,new_object,new_n_objects,new_speakers,new_x_position,new_y_position,mask_file_name,segmented_overhead_file_name,speckle_vibrations_file_name,audio_file_name,speckle_shifts_ifft_audio_file_name,old_sample_idx,old_object,old_n_objects,old_speakers,old_x_position,old_y_position,raw_image,cropped_image,overlay_image,already_in_new_dataset,old_row_found,old_image_found,has_new_mask,has_new_segmented_overhead,has_new_preview_video,has_new_ifft_audio,old_npz_found,old_raw_found,old_preview_video_found,can_recover_without_raw,can_recover_full,needs_manual_review
cube-01x06y_0100--31-03-18-58-06,67,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x06y_0100--31-03-18-58-06/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981848,missing_experiment_config,cube-01x06y,31-03-18-58-06,cube,grid_single,1,False,False,False,False,0100,1.0,6.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x06y_1000--31-03-18-58-04,68,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x06y_1000--31-03-18-58-04/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981898,missing_experiment_config,cube-01x06y,31-03-18-58-04,cube,grid_single,1,False,False,False,False,1000,1.0,6.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x07y_0001--31-03-19-03-53,69,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x07y_0001--31-03-19-03-53/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981950,missing_experiment_config,cube-01x07y,31-03-19-03-53,cube,grid_single,1,False,False,False,False,0001,1.0,7.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x07y_0010--31-03-19-03-51,70,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x07y_0010--31-03-19-03-51/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982001,missing_experiment_config,cube-01x07y,31-03-19-03-51,cube,grid_single,1,False,False,False,False,0010,1.0,7.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x07y_0100--31-03-19-03-49,71,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x07y_0100--31-03-19-03-49/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982055,missing_experiment_config,cube-01x07y,31-03-19-03-49,cube,grid_single,1,False,False,False,False,0100,1.0,7.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x07y_1000--31-03-19-03-47,72,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x07y_1000--31-03-19-03-47/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982106,missing_experiment_config,cube-01x07y,31-03-19-03-47,cube,grid_single,1,False,False,False,False,1000,1.0,7.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x08y_0001--31-03-19-09-55,73,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x08y_0001--31-03-19-09-55/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982194,missing_experiment_config,cube-01x08y,31-03-19-09-55,cube,grid_single,1,False,False,False,False,0001,1.0,8.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x08y_0010--31-03-19-09-53,74,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x08y_0010--31-03-19-09-53/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982253,missing_experiment_config,cube-01x08y,31-03-19-09-53,cube,grid_single,1,False,False,False,False,0010,1.0,8.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x08y_0100--31-03-19-09-51,75,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x08y_0100--31-03-19-09-51/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982307,missing_experiment_config,cube-01x08y,31-03-19-09-51,cube,grid_single,1,False,False,False,False,0100,1.0,8.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x08y_1000--31-03-19-09-48,76,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x08y_1000--31-03-19-09-48/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982361,missing_experiment_config,cube-01x08y,31-03-19-09-48,cube,grid_single,1,False,False,False,False,1000,1.0,8.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x09y_0001--31-03-19-16-15,77,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x09y_0001--31-03-19-16-15/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982416,missing_experiment_config,cube-01x09y,31-03-19-16-15,cube,grid_single,1,False,False,False,False,0001,1.0,9.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x09y_0010--31-03-19-16-13,78,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x09y_0010--31-03-19-16-13/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982469,missing_experiment_config,cube-01x09y,31-03-19-16-13,cube,grid_single,1,False,False,False,False,0010,1.0,9.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x09y_0100--31-03-19-16-11,79,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x09y_0100--31-03-19-16-11/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982524,missing_experiment_config,cube-01x09y,31-03-19-16-11,cube,grid_single,1,False,False,False,False,0100,1.0,9.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x09y_1000--31-03-19-16-09,80,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x09y_1000--31-03-19-16-09/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982580,missing_experiment_config,cube-01x09y,31-03-19-16-09,cube,grid_single,1,False,False,False,False,1000,1.0,9.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x10y_0001--31-03-20-00-32,81,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x10y_0001--31-03-20-00-32/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982635,missing_experiment_config,cube-01x10y,31-03-20-00-32,cube,grid_single,1,False,False,False,False,0001,1.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x10y_0010--31-03-20-00-30,82,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x10y_0010--31-03-20-00-30/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982689,missing_experiment_config,cube-01x10y,31-03-20-00-30,cube,grid_single,1,False,False,False,False,0010,1.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x10y_0100--31-03-20-00-28,83,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x10y_0100--31-03-20-00-28/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982744,missing_experiment_config,cube-01x10y,31-03-20-00-28,cube,grid_single,1,False,False,False,False,0100,1.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x10y_1000--31-03-20-00-26,84,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x10y_1000--31-03-20-00-26/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.982798,missing_experiment_config,cube-01x10y,31-03-20-00-26,cube,grid_single,1,False,False,False,False,1000,1.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
